"MEMBER_ID","BIN","CARD_ID"
"970422","530416",1
"981957","356772",1
"168999","168999",1
"981957","415815",1
"971133","971133",1
"970403","523691",1
"970403","545330",1
"970406","598766",1
"963666","963666",1
"963668","963668",1
"970403","428472",2
"970406","370990",1
"970437","498766",1
"970458","544811",1
"970458","462312",1
"970458","544640",1
"970458","545909",1
"970403","370989",2
"970403","370988",2
"970428","441357",2
"970428","446616",2
"970428","495066",2
"970422","529360",1
"970437","970437",1
"166888","970427",1
"970448","970448",1
"686868","377160",2
"970438","970438",1
"970424","469672",2
"970424","469673",2
"970424","469674",2
"452999","452999",1
"180906","180909",1
"180906","970441",1
"180906","180906",1
"970414","970414",1
"888899","888899",1
"166888","166888",1
"970449","970449",1
"970415","620160",1
"970415","620162",1
"970415","620163",1
"970415","620164",1
"970415","620165",1
"970415","620166",1
"970415","620168",1
"970415","620169",1
"970415","970415",1
"970420","970420",1
"970422","193939",1
"970422","970422",1
"981957","970432",1
"981957","521377",2
"981957","524394",2
"981957","520399",2
"981957","528626",2
"981957","981957",1
"888899","970407",1
"888899","889988",1
"970442","970442",1
"970409","970409",1
"970414","457560",2
"970414","457561",2
"970414","436467",2
"970414","436468",2
"970439","970439",1
"686868","469173",2
"686868","686868",1
"970423","970423",1
"686868","970436",1
"686868","526418",2
"686868","428310",2
"970416","970416",1
"970403","970403",1
"970403","429418",2
"970403","422151",2
"970403","436361",3
"970403","436438",3
"970403","436445",2
"970403","462881",3
"970403","464932",3
"970403","467964",2
"970403","469654",2
"970403","472074",3
"970403","472075",3
"970403","486265",3
"970403","512341",3
"970403","526830",3
"970403","620009",2
"970403","621055",2
"970403","625002",3
"452999","970431",1
"452999","707070",2
"970443","970443",1
"981957","520395",3
"970401","189710",1
"970401","189711",1
"970401","189712",1
"970401","189713",1
"970401","189714",1
"970401","189715",1
"970401","189716",1
"970401","189717",1
"970401","189718",1
"970401","189719",1
"970401","189720",1
"970401","189721",1
"970401","189722",1
"970401","189723",1
"970401","189724",1
"970401","189725",1
"970401","189726",1
"970401","189727",1
"970401","189728",1
"970401","189729",1
"970401","189730",1
"970401","189731",1
"970401","189732",1
"970401","189733",1
"970401","189734",1
"970401","189735",1
"970401","189736",1
"970401","189737",1
"970401","189738",1
"970401","189739",1
"970401","189740",1
"970401","189741",1
"970401","189742",1
"970401","189743",1
"970401","189744",1
"970401","189745",1
"970401","189746",1
"970401","189747",1
"970401","189748",1
"970401","189749",1
"970401","189750",1
"970401","189751",1
"970401","189752",1
"970401","189753",1
"970401","189754",1
"970401","189755",1
"970401","189756",1
"970401","189757",1
"970401","189758",1
"970401","189759",1
"970401","189760",1
"970401","189761",1
"970401","189762",1
"970401","189763",1
"970401","189764",1
"970401","189765",1
"970401","189766",1
"970401","189767",1
"970401","189768",1
"970401","189769",1
"970401","189770",1
"970401","189771",1
"970401","189772",1
"970401","189773",1
"970401","189774",1
"970401","189775",1
"970401","189776",1
"970401","189777",1
"970401","189778",1
"970401","189779",1
"970401","189780",1
"970401","189781",1
"970401","189782",1
"970401","189783",1
"970401","189784",1
"970401","189785",1
"970401","189786",1
"970401","189787",1
"970401","189788",1
"970401","189789",1
"970401","189790",1
"970401","189791",1
"970401","189792",1
"970401","189793",1
"970401","189794",1
"970401","189795",1
"970401","189796",1
"970401","189797",1
"970401","189798",1
"970401","189799",1
"970401","189701",1
"970401","189702",1
"970401","189703",1
"970401","189704",1
"970401","189705",1
"970401","189706",1
"970401","189707",1
"970401","189708",1
"970401","189709",1
"970401","970401",1
"970401","189700",1
"970408","970408",1
"818188","818188",1
"818188","970419",1
"191919","191919",1
"686868","621295",2
"191919","970425",1
"970424","970424",1
"970424","000002",1
"970422","484804",2
"970422","472674",2
"970422","484803",2
"970422","548566",2
"970468","970440",1
"970468","540392",2
"970468","537158",2
"970468","437420",2
"970468","437421",2
"970468","436545",2
"970468","436546",2
"970468","476636",2
"977777","970468",1
"970403","461138",2
"970408","532563",1
"970408","532153",1
"970488","970488",1
"970422","356418",1
"970422","356419",1
"970422","356433",1
"970426","970426",1
"970488","970418",
"157979","970429",1
"157979","157979",1
"970406","970406",1
"970403","401520",1
"970403","461137",1
"970403","461140",1
"970403","466243",1
"970403","356480",1
"970403","356481",1
"970403","552332",1
"970403","517416",1
"970403","534437",1
"970424","403013",1
"971017","971017",1
"686868","477390",1
"970428","970428",1
"161087","970400",1
"888999","970434",1
"888999","413534",1
"888999","418248",1
"888999","459220",1
"888999","406598",1
"888999","413535",1
"970403","423325",1
"970403","455376",1
"970412","970412",1
"970412","542553",1
"970412","511962",1
"970412","538742",1
"970446","970446",1
"970454","970454",1
"970456","970456",1
"970426","402204",2
"970426","510995",3
"970426","511409",4
"970426","521976",5
"970426","524999",6
"970426","402215",7
"970426","430389",8
"970426","516294",9
"970426","532451",10
"970426","514487",11
"686868","403277",1
"970428","533147",2
"970428","533968",3
"970428","524083",4
"970428","528645",5
"970428","559270",6
"970428","516995",7
"970455","970455",1
"970457","970457",1
"970424","462842",0
"970424","462843",1
"970424","462844",1
"970424","421595",1
"970430","970430",1
"901001","901001",1
"971104","971104",1
"901004","901004",1
"458761","458761",1
"546035","546035",1
"981957","522384",1
"981957","559073",1
"981957","519930",1
"180906","512824",1
"180906","526887",1
"180906","536032",1
"971100","971100",1
"970433","970433",1
"970459","970459",1
"970472","970472",1
"600002","600002",1
"600004","600004",1
"970411","970411",1
"600006","600006",1
"971001","971001",1
"901003","901003",1
"600007","600007",1
"607001","607001",1
"901010","901010",1
"605608","605608",1
"901007","901007",1
"971101","971101",1
"970489","970489",1
"455372","455372",1
"607007","607007",1
"901008","901008",1
"970452","970452",1
"600003","600003",1
"600001","600001",1
"999999","999999",1
"970417","970417",1
"600005","600005",1
"901005","901005",1
"970451","970451",1
"970471","970471",1
"602907","602907",1
"970477","970477",1
"220699","220699",1
"970499","970405",1
"901006","901006",1
"000000","000000",1
"970473","970473",1
"97040500","97040500",1
"970444","970444",1
"901002","901002",1
"668888","668888",1
"970410","970410",1
"970421","970421",1
"605609","605609",1
"971003","971003",1
"970469","970469",1
"904000","904000",1
"914000","914000",1
"970466","970466",1
"970467","970467",1
"963388","963388",1
"963311","963311",1
"977777","977777",1
"970458","533948",1
"963369","963369",1
"963369","529183",1
"970470","970470",1
"970462","970462",1
"999888","999888",1
"971011","971011",1
"970460","970460",1
"422589","422589",1
"422589","403950",
"970458","970458",1
"970403","400525",
"546034","546034",1
"901009","901009",1
"801011","801011",1
"902000","902000",1
"970499","970499",1
"971122","971122",1
"180906","513892",1
"180906","513094",1
"180906","423865",1
"970448","528643",1
"970448","542172",1
"970448","546278",1
"970448","357112",1
"970448","356505",1
"970463","970463",1
"981957","454119",1
"981957","471249",1
"981957","406453",1
"981957","454107",1
"981957","405280",1
"981957","478668",1
"981957","419834",1
"796500","796500",1
"963399","963399",1
"555666","555666",1
"925000","925000",1
"906000","906000",1
"971005","971005",1
"971111","971111",1
"180906","531828",1
"970426","527663",1
"963368","963368",1
"970452","403686",1
"970452","356438",1
"970412","517454",1
"157979","554627",1
"970442","412472",1
"981957","523975",1
"970406","123456",1
"970406","386838",1
"970406","068372",1
"970406","521317",1
"386838","123456",1
"970406","241546",1
"198748","123456",1
"970406","300000",1
"970406","198748",1
"970406","494069",1
"949406","123456",1
"970498","123456",1
"970406","107449",1
"970406","129837",1
"970406","949406",1
"970406","970498",1
"970406","032010",1
"970406","124348",1
"963368","521251",1
"970406","040304",1
"970406","912983",1
"970406","019992",1
"970406","294069",1
"970406","455464",1
"970406","094010",1
"970406","521889",1
"970406","012983",1
"970406","555616",1
"970406","111111",1
"970437","559260",1
"970437","523472",1
"963688","963688",1
"686868","452404",1
"157979","428472",1
"970406","528976",1
"970452","403687",1
"970406","887073",1
"970406","001100",1
"970406","463720",1
"970412","536708",1
"180906","404169",1
"970458","531922",1
"970458","534763",1
"970458","546079",1
"970458","437374",1
"970458","455517",1
"970458","437373",1
