Oracle Result,,,,,,,,TIDB Result,,,,,
TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE,,,TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE
2000002,970466,970466,970466,,,,,2000002,970466,970466,970466,,
2001496,970443,970443,970443,,,,,2001496,970443,970443,970443,,
2002545,970443,970443,970443,,,,,2002545,970443,970443,970443,,
2003639,970422,970422,970422,G2_2022,,,,2003639,970422,970422,970422,G2_2022,
2003640,970422,970422,970422,G2_2022,,,,2003640,970422,970422,970422,G2_2022,
2003641,970422,970422,970422,G2_2022,,,,2003641,970422,970422,970422,G2_2022,
2003642,970422,970422,970422,G2_2022,,,,2003642,970422,970422,970422,G2_2022,
2003647,970422,970422,970422,G2_2022,,,,2003647,970422,970422,970422,G2_2022,
2003648,970422,970422,970422,G2_2022,,,,2003648,970422,970422,970422,G2_2022,
2003649,970422,970422,970422,G2_2022,,,,2003649,970422,970422,970422,G2_2022,
2003658,970422,970422,970422,G2_2022,,,,2003658,970422,970422,970422,G2_2022,
2003659,970422,970422,970422,G2_2022,,,,2003659,970422,970422,970422,G2_2022,
2003660,970422,970422,970422,G2_2022,,,,2003660,970422,970422,970422,G2_2022,
2003661,970422,970422,970422,G2_2022,,,,2003661,970422,970422,970422,G2_2022,
2003675,970422,970422,970422,G2_2022,,,,2003675,970422,970422,970422,G2_2022,
2003677,970422,970422,970422,G2_2022,,,,2003677,970422,970422,970422,G2_2022,
2003686,970443,970443,970443,,,,,2003686,970443,970443,970443,,
2003691,970422,970422,970422,G2_2022,,,,2003691,970422,970422,970422,G2_2022,
2003694,970422,970422,970422,G2_2022,,,,2003694,970422,970422,970422,G2_2022,
2003698,970422,970422,970422,G2_2022,,,,2003698,970422,970422,970422,G2_2022,
2003733,970422,970422,970422,G2_2022,,,,2003733,970422,970422,970422,G2_2022,
2003742,970422,970422,970422,G2_2022,,,,2003742,970422,970422,970422,G2_2022,
2003744,970422,970422,970422,G2_2022,,,,2003744,970422,970422,970422,G2_2022,
2003876,970443,970443,970443,,,,,2003876,970443,970443,970443,,
2006363,970434,970434,888999,,,,,2006363,970434,970434,888999,,
2006364,970434,970434,888999,,,,,2006364,970434,970434,888999,,
2006365,970434,970434,888999,,,,,2006365,970434,970434,888999,,
2008877,970443,970443,970443,,,,,2008877,970443,970443,970443,,
2012087,970443,970443,970443,,,,,2012087,970443,970443,970443,,
2014009,970443,970443,970443,,,,,2014009,970443,970443,970443,,
2015766,970443,970443,970443,,,,,2015766,970443,970443,970443,,
2016902,970421,970421,980478,,,,,2016902,970421,970421,980478,,
2016905,970421,970421,980478,,,,,2016905,970421,970421,980478,,
2016912,970421,970421,980478,,,,,2016912,970421,970421,980478,,
2016913,970421,970421,980478,,,,,2016913,970421,970421,980478,,
2021122,970443,970443,970443,,,,,2021122,970443,970443,970443,,
2023996,970443,970443,970443,,,,,2023996,970443,970443,970443,,
2025540,970438,970438,980478,,,,,2025540,970438,970438,980478,,
2025567,970438,970438,980478,,,,,2025567,970438,970438,980478,,
2026896,970443,970443,970443,,,,,2026896,970443,970443,970443,,
2028829,970443,970443,970443,,,,,2028829,970443,970443,970443,,
2042966,970443,970443,970443,,,,,2042966,970443,970443,970443,,
2043289,970443,970443,970443,,,,,2043289,970443,970443,970443,,
2054448,970443,970443,970443,,,,,2054448,970443,970443,970443,,
2054931,970443,970443,970443,,,,,2054931,970443,970443,970443,,
2055622,970443,970443,970443,,,,,2055622,970443,970443,970443,,
2058216,970443,970443,970443,,,,,2058216,970443,970443,970443,,
2069338,970443,970443,970443,,,,,2069338,970443,970443,970443,,
2070587,970443,970443,970443,,,,,2070587,970443,970443,970443,,
2071084,970443,970443,970443,,,,,2071084,970443,970443,970443,,
2072090,970443,970443,970443,,,,,2072090,970443,970443,970443,,
2073378,970443,970443,970443,,,,,2073378,970443,970443,970443,,
2074102,970443,970443,970443,,,,,2074102,970443,970443,970443,,
2075051,970443,970443,970443,,,,,2075051,970443,970443,970443,,
2075213,970443,970443,970443,,,,,2075213,970443,970443,970443,,
2075793,970442,970442,970442,,,,,2075793,970442,970442,970442,,
2076053,970443,970443,970443,,,,,2076053,970443,970443,970443,,
2088830,970443,970443,970443,,,,,2088830,970443,970443,970443,,
2100486,970443,970443,970443,,,,,2100486,970443,970443,970443,,
2100636,970443,970443,970443,,,,,2100636,970443,970443,970443,,
2103294,970437,970437,980478,,,,,2103294,970437,970437,980478,,
2103460,970437,970437,980478,,,,,2103460,970437,970437,980478,,
2103461,970437,970437,980478,,,,,2103461,970437,970437,980478,,
2103520,970418,970418,980478,,,,,2103520,970418,970418,980478,,
2106169,970443,970443,970443,,,,,2106169,970443,970443,970443,,
2106502,970418,970418,980478,,,,,2106502,970418,970418,980478,,
2106503,970418,970418,980478,,,,,2106503,970418,970418,980478,,
2106785,970412,970412,980478,G2_2022,,,,2106785,970412,970412,980478,G2_2022,
2114248,970443,970443,970443,,,,,2114248,970443,970443,970443,,
2120383,970443,970443,970443,,,,,2120383,970443,970443,970443,,
2121143,970443,970443,970443,,,,,2121143,970443,970443,970443,,
2121294,970443,970443,970443,,,,,2121294,970443,970443,970443,,
2123869,970443,970443,970443,,,,,2123869,970443,970443,970443,,
2131961,970443,970443,970443,,,,,2131961,970443,970443,970443,,
2136587,970443,970443,970443,,,,,2136587,970443,970443,970443,,
2139318,970458,970458,970458,,,,,2139318,970458,970458,970458,,
2139333,970443,970443,970443,,,,,2139333,970443,970443,970443,,
2142525,970443,970443,970443,,,,,2142525,970443,970443,970443,,
2143287,970443,970443,970443,,,,,2143287,970443,970443,970443,,
2144948,970443,970443,970443,,,,,2144948,970443,970443,970443,,
2145989,970443,970443,970443,,,,,2145989,970443,970443,970443,,
2146436,970443,970443,970443,,,,,2146436,970443,970443,970443,,
2152861,970443,970443,970443,,,,,2152861,970443,970443,970443,,
2154191,970443,970443,970443,,,,,2154191,970443,970443,970443,,
2158439,970443,970443,970443,,,,,2158439,970443,970443,970443,,
2166158,970443,970443,970443,,,,,2166158,970443,970443,970443,,
2166783,970443,970443,970443,,,,,2166783,970443,970443,970443,,
2168233,970443,970443,970443,,,,,2168233,970443,970443,970443,,
2168350,970443,970443,970443,,,,,2168350,970443,970443,970443,,
2171272,970443,970443,970443,,,,,2171272,970443,970443,970443,,
2175378,970443,970443,970443,,,,,2175378,970443,970443,970443,,
2175564,970443,970443,970443,,,,,2175564,970443,970443,970443,,
2183559,970443,970443,970443,,,,,2183559,970443,970443,970443,,
2185135,970443,970443,970443,,,,,2185135,970443,970443,970443,,
2185444,970443,970443,970443,,,,,2185444,970443,970443,970443,,
2186242,970443,970443,970443,,,,,2186242,970443,970443,970443,,
2195072,970443,970443,970443,,,,,2195072,970443,970443,970443,,
2199086,970443,970443,970443,,,,,2199086,970443,970443,970443,,
2199162,970443,970443,970443,,,,,2199162,970443,970443,970443,,
2203944,970443,970443,970443,,,,,2203944,970443,970443,970443,,
2205032,970443,970443,970443,,,,,2205032,970443,970443,970443,,
2205062,970443,970443,970443,,,,,2205062,970443,970443,970443,,
2207385,970443,970443,970443,,,,,2207385,970443,970443,970443,,
2211817,970443,970443,970443,,,,,2211817,970443,970443,970443,,
2215203,970433,970433,970433,,,,,2215203,970433,970433,970433,,
2217074,970443,970443,970443,,,,,2217074,970443,970443,970443,,
2219665,970443,970443,970443,,,,,2219665,970443,970443,970443,,
2219997,970443,970443,970443,,,,,2219997,970443,970443,970443,,
2224417,970443,970443,970443,,,,,2224417,970443,970443,970443,,
2225583,970443,970443,970443,,,,,2225583,970443,970443,970443,,
2227786,970443,970443,970443,,,,,2227786,970443,970443,970443,,
2229060,970443,970443,970443,,,,,2229060,970443,970443,970443,,
2229110,970443,970443,970443,,,,,2229110,970443,970443,970443,,
2233741,970443,970443,970443,,,,,2233741,970443,970443,970443,,
2237119,970443,970443,970443,,,,,2237119,970443,970443,970443,,
2237235,970443,970443,970443,,,,,2237235,970443,970443,970443,,
2238777,970443,970443,970443,,,,,2238777,970443,970443,970443,,
2239363,970443,970443,970443,,,,,2239363,970443,970443,970443,,
2240694,970412,970412,980478,G2_2022,,,,2240694,970412,970412,980478,G2_2022,
2242223,970443,970443,970443,,,,,2242223,970443,970443,970443,,
2242742,970443,970443,970443,,,,,2242742,970443,970443,970443,,
2253558,970443,970443,970443,,,,,2253558,970443,970443,970443,,
2255827,970443,970443,970443,,,,,2255827,970443,970443,970443,,
2258342,970443,970443,970443,,,,,2258342,970443,970443,970443,,
2261671,970443,970443,970443,,,,,2261671,970443,970443,970443,,
2261727,970443,970443,970443,,,,,2261727,970443,970443,970443,,
2262705,970443,970443,970443,,,,,2262705,970443,970443,970443,,
2263752,970443,970443,970443,,,,,2263752,970443,970443,970443,,
2265249,970443,970443,970443,,,,,2265249,970443,970443,970443,,
2270143,970443,970443,970443,,,,,2270143,970443,970443,970443,,
2272670,970443,970443,970443,,,,,2272670,970443,970443,970443,,
2278544,970443,970443,970443,,,,,2278544,970443,970443,970443,,
2285578,970443,970443,970443,,,,,2285578,970443,970443,970443,,
2286759,970443,970443,970443,,,,,2286759,970443,970443,970443,,
2291484,970443,970443,970443,,,,,2291484,970443,970443,970443,,
2292389,970443,970443,970443,,,,,2292389,970443,970443,970443,,
2294055,970412,970412,980478,G2_2022,,,,2294055,970412,970412,980478,G2_2022,
2294961,970443,970443,970443,,,,,2294961,970443,970443,970443,,
2299678,970443,970443,970443,,,,,2299678,970443,970443,970443,,
2302164,970443,970443,970443,,,,,2302164,970443,970443,970443,,
2303358,970443,970443,970443,,,,,2303358,970443,970443,970443,,
2303432,970443,970443,970443,,,,,2303432,970443,970443,970443,,
2307963,970443,970443,970443,,,,,2307963,970443,970443,970443,,
2313224,970443,970443,970443,,,,,2313224,970443,970443,970443,,
2318248,970443,970443,970443,,,,,2318248,970443,970443,970443,,
2323607,970443,970443,970443,,,,,2323607,970443,970443,970443,,
2324447,970440,970440,970468,,,,,2324447,970440,970440,970468,,
2325442,970443,970443,970443,,,,,2325442,970443,970443,970443,,
2326696,970443,970443,970443,,,,,2326696,970443,970443,970443,,
2327210,970443,970443,970443,,,,,2327210,970443,970443,970443,,
2327685,970443,970443,970443,,,,,2327685,970443,970443,970443,,
2330631,970443,970443,970443,,,,,2330631,970443,970443,970443,,
2331918,970443,970443,970443,,,,,2331918,970443,970443,970443,,
2332152,970443,970443,970443,,,,,2332152,970443,970443,970443,,
2335874,970443,970443,970443,,,,,2335874,970443,970443,970443,,
2341467,970443,970443,970443,,,,,2341467,970443,970443,970443,,
2344414,970443,970443,970443,,,,,2344414,970443,970443,970443,,
2345809,970443,970443,970443,,,,,2345809,970443,970443,970443,,
2346667,970443,970443,970443,,,,,2346667,970443,970443,970443,,
2348485,970443,970443,970443,,,,,2348485,970443,970443,970443,,
2351315,970443,970443,970443,,,,,2351315,970443,970443,970443,,
2352690,970443,970443,970443,,,,,2352690,970443,970443,970443,,
2353920,970443,970443,970443,,,,,2353920,970443,970443,970443,,
2354995,970443,970443,970443,,,,,2354995,970443,970443,970443,,
2357112,970443,970443,970443,,,,,2357112,970443,970443,970443,,
2360452,970443,970443,970443,,,,,2360452,970443,970443,970443,,
2365594,970443,970443,970443,,,,,2365594,970443,970443,970443,,
2366797,970443,970443,970443,,,,,2366797,970443,970443,970443,,
2367217,970443,970443,970443,,,,,2367217,970443,970443,970443,,
2370753,970443,970443,970443,,,,,2370753,970443,970443,970443,,
2372101,970443,970443,970443,,,,,2372101,970443,970443,970443,,
2376978,970443,970443,970443,,,,,2376978,970443,970443,970443,,
2378946,970443,970443,970443,,,,,2378946,970443,970443,970443,,
2379688,970443,970443,970443,,,,,2379688,970443,970443,970443,,
2380702,970443,970443,970443,,,,,2380702,970443,970443,970443,,
2384430,970432,970432,981957,,,,,2384430,970432,970432,981957,,
2389635,970443,970443,970443,,,,,2389635,970443,970443,970443,,
2391470,970418,970418,970488,,,,,2391470,970418,970418,970488,,
2391471,970418,970418,970488,,,,,2391471,970418,970418,970488,,
2392444,970418,970418,970488,,,,,2392444,970418,970418,970488,,
2392445,970418,970418,970488,,,,,2392445,970418,970418,970488,,
2392448,970418,970418,970488,,,,,2392448,970418,970418,970488,,
2392458,970418,970418,970488,,,,,2392458,970418,970418,970488,,
2392460,970418,970418,970488,,,,,2392460,970418,970418,970488,,
2392463,970418,970418,970488,,,,,2392463,970418,970418,970488,,
2393618,970443,970443,970443,,,,,2393618,970443,970443,970443,,
2398534,970443,970443,970443,,,,,2398534,970443,970443,970443,,
2411027,970443,970443,970443,,,,,2411027,970443,970443,970443,,
2417822,970443,970443,970443,,,,,2417822,970443,970443,970443,,
2417963,970443,970443,970443,,,,,2417963,970443,970443,970443,,
2418752,970443,970443,970443,,,,,2418752,970443,970443,970443,,
2423878,970443,970443,970443,,,,,2423878,970443,970443,970443,,
2426154,970443,970443,970443,,,,,2426154,970443,970443,970443,,
2427438,970443,970443,970443,,,,,2427438,970443,970443,970443,,
2429201,970448,970448,970448,,,,,2429201,970448,970448,970448,,
2429202,970448,970448,970448,,,,,2429202,970448,970448,970448,,
2429203,970448,970448,970448,,,,,2429203,970448,970448,970448,,
2429204,970448,970448,970448,,,,,2429204,970448,970448,970448,,
2429205,970448,970448,970448,,,,,2429205,970448,970448,970448,,
2429210,970448,970448,970448,,,,,2429210,970448,970448,970448,,
2429215,970448,970448,970448,,,,,2429215,970448,970448,970448,,
2429242,970448,970448,970448,,,,,2429242,970448,970448,970448,,
2429255,970448,970448,970448,,,,,2429255,970448,970448,970448,,
2430876,970443,970443,970443,,,,,2430876,970443,970443,970443,,
2436034,970443,970443,970443,,,,,2436034,970443,970443,970443,,
2439380,970443,970443,970443,,,,,2439380,970443,970443,970443,,
2440461,970443,970443,970443,,,,,2440461,970443,970443,970443,,
2440723,970443,970443,970443,,,,,2440723,970443,970443,970443,,
2446282,970443,970443,970443,,,,,2446282,970443,970443,970443,,
2449629,970443,970443,970443,,,,,2449629,970443,970443,970443,,
2461528,970443,970443,970443,,,,,2461528,970443,970443,970443,,
2465992,970443,970443,970443,,,,,2465992,970443,970443,970443,,
2468543,970443,970443,970443,,,,,2468543,970443,970443,970443,,
2473887,970443,970443,970443,,,,,2473887,970443,970443,970443,,
2476524,970443,970443,970443,,,,,2476524,970443,970443,970443,,
2476723,970443,970443,970443,,,,,2476723,970443,970443,970443,,
2477438,970443,970443,970443,,,,,2477438,970443,970443,970443,,
2478422,970443,970443,970443,,,,,2478422,970443,970443,970443,,
2479043,970443,970443,970443,,,,,2479043,970443,970443,970443,,
2479161,970443,970443,970443,,,,,2479161,970443,970443,970443,,
2481157,970443,970443,970443,,,,,2481157,970443,970443,970443,,
2481871,970443,970443,970443,,,,,2481871,970443,970443,970443,,
2482426,970443,970443,970443,,,,,2482426,970443,970443,970443,,
2484081,970443,970443,970443,,,,,2484081,970443,970443,970443,,
2484723,970443,970443,970443,,,,,2484723,970443,970443,970443,,
2492604,970406,970406,970406,G2_2022,,,,2492604,970406,970406,970406,G2_2022,
2494270,970443,970443,970443,,,,,2494270,970443,970443,970443,,
2494698,970443,970443,970443,,,,,2494698,970443,970443,970443,,
2494999,970443,970443,970443,,,,,2494999,970443,970443,970443,,
2496282,970443,970443,970443,,,,,2496282,970443,970443,970443,,
2498236,970443,970443,970443,,,,,2498236,970443,970443,970443,,
2500163,970443,970443,970443,,,,,2500163,970443,970443,970443,,
2504271,970443,970443,970443,,,,,2504271,970443,970443,970443,,
2504516,970443,970443,970443,,,,,2504516,970443,970443,970443,,
2507312,970443,970443,970443,,,,,2507312,970443,970443,970443,,
2516638,970443,970443,970443,,,,,2516638,970443,970443,970443,,
2518095,970443,970443,970443,,,,,2518095,970443,970443,970443,,
2522473,970443,970443,970443,,,,,2522473,970443,970443,970443,,
2524383,970443,970443,970443,,,,,2524383,970443,970443,970443,,
2528822,970443,970443,970443,,,,,2528822,970443,970443,970443,,
2530721,970443,970443,970443,,,,,2530721,970443,970443,970443,,
2534740,970443,970443,970443,,,,,2534740,970443,970443,970443,,
2534791,970443,970443,970443,,,,,2534791,970443,970443,970443,,
2536385,970443,970443,970443,,,,,2536385,970443,970443,970443,,
2538996,970443,970443,970443,,,,,2538996,970443,970443,970443,,
2542158,970412,970412,980478,G2_2022,,,,2542158,970412,970412,980478,G2_2022,
2544271,970443,970443,970443,,,,,2544271,970443,970443,970443,,
2545602,970443,970443,970443,,,,,2545602,970443,970443,970443,,
2546803,970443,970443,970443,,,,,2546803,970443,970443,970443,,
2560328,970443,970443,970443,,,,,2560328,970443,970443,970443,,
2564111,970443,970443,970443,,,,,2564111,970443,970443,970443,,
2567582,970443,970443,970443,,,,,2567582,970443,970443,970443,,
2570711,970443,970443,970443,,,,,2570711,970443,970443,970443,,
2572383,970443,970443,970443,,,,,2572383,970443,970443,970443,,
2573076,970443,970443,970443,,,,,2573076,970443,970443,970443,,
2573389,970443,970443,970443,,,,,2573389,970443,970443,970443,,
2576996,970443,970443,970443,,,,,2576996,970443,970443,970443,,
2579123,970443,970443,970443,,,,,2579123,970443,970443,970443,,
2594365,970443,970443,970443,,,,,2594365,970443,970443,970443,,
2601249,970443,970443,970443,,,,,2601249,970443,970443,970443,,
2601515,970443,970443,970443,,,,,2601515,970443,970443,970443,,
2603736,970443,970443,970443,,,,,2603736,970443,970443,970443,,
2605563,970412,970412,980478,G2_2022,,,,2605563,970412,970412,980478,G2_2022,
2611940,970443,970443,970443,,,,,2611940,970443,970443,970443,,
2617265,970443,970443,970443,,,,,2617265,970443,970443,970443,,
2622537,970443,970443,970443,,,,,2622537,970443,970443,970443,,
2623440,970443,970443,970443,,,,,2623440,970443,970443,970443,,
2623623,970443,970443,970443,,,,,2623623,970443,970443,970443,,
2625218,970443,970443,970443,,,,,2625218,970443,970443,970443,,
2627580,970443,970443,970443,,,,,2627580,970443,970443,970443,,
2627646,970443,970443,970443,,,,,2627646,970443,970443,970443,,
2630317,970443,970443,970443,,,,,2630317,970443,970443,970443,,
2633117,970443,970443,970443,,,,,2633117,970443,970443,970443,,
2636289,970443,970443,970443,,,,,2636289,970443,970443,970443,,
2638193,970443,970443,970443,,,,,2638193,970443,970443,970443,,
2641379,970443,970443,970443,,,,,2641379,970443,970443,970443,,
2655385,970443,970443,970443,,,,,2655385,970443,970443,970443,,
2656886,970443,970443,970443,,,,,2656886,970443,970443,970443,,
2660265,970443,970443,970443,,,,,2660265,970443,970443,970443,,
2663317,970443,970443,970443,,,,,2663317,970443,970443,970443,,
2663678,970443,970443,970443,,,,,2663678,970443,970443,970443,,
2672631,970443,970443,970443,,,,,2672631,970443,970443,970443,,
2674668,970443,970443,970443,,,,,2674668,970443,970443,970443,,
2675277,970443,970443,970443,,,,,2675277,970443,970443,970443,,
2678004,970443,970443,970443,,,,,2678004,970443,970443,970443,,
2681317,970443,970443,970443,,,,,2681317,970443,970443,970443,,
2690643,970412,970412,980478,G2_2022,,,,2690643,970412,970412,980478,G2_2022,
2691410,970443,970443,970443,,,,,2691410,970443,970443,970443,,
2698185,970443,970443,970443,,,,,2698185,970443,970443,970443,,
2698930,970443,970443,970443,,,,,2698930,970443,970443,970443,,
2700385,970443,970443,970443,,,,,2700385,970443,970443,970443,,
2701884,970443,970443,970443,,,,,2701884,970443,970443,970443,,
2703018,970412,970412,980478,G2_2022,,,,2703018,970412,970412,980478,G2_2022,
2703942,970443,970443,970443,,,,,2703942,970443,970443,970443,,
2705487,970443,970443,970443,,,,,2705487,970443,970443,970443,,
2706310,970443,970443,970443,,,,,2706310,970443,970443,970443,,
2707144,970412,970412,970412,G2_2022,,,,2707144,970412,970412,970412,G2_2022,
2707438,970443,970443,970443,,,,,2707438,970443,970443,970443,,
2714246,970443,970443,970443,,,,,2714246,970443,970443,970443,,
2720298,970443,970443,970443,,,,,2720298,970443,970443,970443,,
2722059,970443,970443,970443,,,,,2722059,970443,970443,970443,,
2729368,970443,970443,970443,,,,,2729368,970443,970443,970443,,
2730229,970443,970443,970443,,,,,2730229,970443,970443,970443,,
2735767,970443,970443,970443,,,,,2735767,970443,970443,970443,,
2741355,970443,970443,970443,,,,,2741355,970443,970443,970443,,
2744657,970443,970443,970443,,,,,2744657,970443,970443,970443,,
2748288,970443,970443,970443,,,,,2748288,970443,970443,970443,,
2752654,970443,970443,970443,,,,,2752654,970443,970443,970443,,
2754535,970443,970443,970443,,,,,2754535,970443,970443,970443,,
2760558,970443,970443,970443,,,,,2760558,970443,970443,970443,,
2761121,970443,970443,970443,,,,,2761121,970443,970443,970443,,
2764216,970443,970443,970443,,,,,2764216,970443,970443,970443,,
2766963,970443,970443,970443,,,,,2766963,970443,970443,970443,,
2767191,970443,970443,970443,,,,,2767191,970443,970443,970443,,
2767852,970443,970443,970443,,,,,2767852,970443,970443,970443,,
2768630,970443,970443,970443,,,,,2768630,970443,970443,970443,,
2770001,970443,970443,970443,,,,,2770001,970443,970443,970443,,
2775883,970443,970443,970443,,,,,2775883,970443,970443,970443,,
2776651,970443,970443,970443,,,,,2776651,970443,970443,970443,,
2777245,970443,970443,970443,,,,,2777245,970443,970443,970443,,
2781186,970443,970443,970443,,,,,2781186,970443,970443,970443,,
2783155,970443,970443,970443,,,,,2783155,970443,970443,970443,,
2783833,970443,970443,970443,,,,,2783833,970443,970443,970443,,
2785305,970443,970443,970443,,,,,2785305,970443,970443,970443,,
2789335,970443,970443,970443,,,,,2789335,970443,970443,970443,,
2796033,970443,970443,970443,,,,,2796033,970443,970443,970443,,
2797997,970443,970443,970443,,,,,2797997,970443,970443,970443,,
2798175,970443,970443,970443,,,,,2798175,970443,970443,970443,,
2798630,970443,970443,970443,,,,,2798630,970443,970443,970443,,
2799534,970443,970443,970443,,,,,2799534,970443,970443,970443,,
2804888,970443,970443,970443,,,,,2804888,970443,970443,970443,,
2805544,970443,970443,970443,,,,,2805544,970443,970443,970443,,
2809838,970443,970443,970443,,,,,2809838,970443,970443,970443,,
2810386,970443,970443,970443,,,,,2810386,970443,970443,970443,,
2819730,970443,970443,970443,,,,,2819730,970443,970443,970443,,
2824627,970443,970443,970443,,,,,2824627,970443,970443,970443,,
2827672,970443,970443,970443,,,,,2827672,970443,970443,970443,,
2828483,970443,970443,970443,,,,,2828483,970443,970443,970443,,
2829144,970443,970443,970443,,,,,2829144,970443,970443,970443,,
2833555,970443,970443,970443,,,,,2833555,970443,970443,970443,,
2834565,970443,970443,970443,,,,,2834565,970443,970443,970443,,
2846472,970443,970443,970443,,,,,2846472,970443,970443,970443,,
2847684,970443,970443,970443,,,,,2847684,970443,970443,970443,,
2848418,970443,970443,970443,,,,,2848418,970443,970443,970443,,
2849080,970443,970443,970443,,,,,2849080,970443,970443,970443,,
2851696,970443,970443,970443,,,,,2851696,970443,970443,970443,,
2854308,970443,970443,970443,,,,,2854308,970443,970443,970443,,
2854534,970443,970443,970443,,,,,2854534,970443,970443,970443,,
2862276,970443,970443,970443,,,,,2862276,970443,970443,970443,,
2862606,970443,970443,970443,,,,,2862606,970443,970443,970443,,
2865990,970443,970443,970443,,,,,2865990,970443,970443,970443,,
2866967,970443,970443,970443,,,,,2866967,970443,970443,970443,,
2869173,970443,970443,970443,,,,,2869173,970443,970443,970443,,
2871057,970412,970412,980478,G2_2022,,,,2871057,970412,970412,980478,G2_2022,
2871890,970443,970443,970443,,,,,2871890,970443,970443,970443,,
2873383,970443,970443,970443,,,,,2873383,970443,970443,970443,,
2881770,970443,970443,970443,,,,,2881770,970443,970443,970443,,
2885911,970443,970443,970443,,,,,2885911,970443,970443,970443,,
2887209,970443,970443,970443,,,,,2887209,970443,970443,970443,,
2887273,970443,970443,970443,,,,,2887273,970443,970443,970443,,
2896147,970443,970443,970443,,,,,2896147,970443,970443,970443,,
2899603,970443,970443,970443,,,,,2899603,970443,970443,970443,,
2905189,970443,970443,970443,,,,,2905189,970443,970443,970443,,
2910060,970443,970443,970443,,,,,2910060,970443,970443,970443,,
2912236,970443,970443,970443,,,,,2912236,970443,970443,970443,,
2916034,970425,970425,980478,,,,,2916034,970425,970425,980478,,
2916035,970425,970425,980478,,,,,2916035,970425,970425,980478,,
2916036,970425,970425,980478,,,,,2916036,970425,970425,980478,,
2917945,970443,970443,970443,,,,,2917945,970443,970443,970443,,
2918232,970443,970443,970443,,,,,2918232,970443,970443,970443,,
2918991,970443,970443,970443,,,,,2918991,970443,970443,970443,,
2921415,970443,970443,970443,,,,,2921415,970443,970443,970443,,
2922832,970443,970443,970443,,,,,2922832,970443,970443,970443,,
2924098,970443,970443,970443,,,,,2924098,970443,970443,970443,,
2928814,970443,970443,970443,,,,,2928814,970443,970443,970443,,
2929623,970443,970443,970443,,,,,2929623,970443,970443,970443,,
2930059,970443,970443,970443,,,,,2930059,970443,970443,970443,,
2930064,970443,970443,970443,,,,,2930064,970443,970443,970443,,
2931160,970443,970443,970443,,,,,2931160,970443,970443,970443,,
2934410,970443,970443,970443,,,,,2934410,970443,970443,970443,,
2936308,970443,970443,970443,,,,,2936308,970443,970443,970443,,
2937529,970443,970443,970443,,,,,2937529,970443,970443,970443,,
2939847,970443,970443,970443,,,,,2939847,970443,970443,970443,,
2940134,970443,970443,970443,,,,,2940134,970443,970443,970443,,
2941645,970423,970423,980478,G2_2022,,,,2941645,970423,970423,980478,G2_2022,
2942972,970443,970443,970443,,,,,2942972,970443,970443,970443,,
2943621,970443,970443,970443,,,,,2943621,970443,970443,970443,,
2948830,970443,970443,970443,,,,,2948830,970443,970443,970443,,
2953804,970448,970448,970448,,,,,2953804,970448,970448,970448,,
2954124,970443,970443,970443,,,,,2954124,970443,970443,970443,,
2955029,970443,970443,970443,,,,,2955029,970443,970443,970443,,
2956906,970443,970443,970443,,,,,2956906,970443,970443,970443,,
2957100,970443,970443,970443,,,,,2957100,970443,970443,970443,,
2959615,970443,970443,970443,,,,,2959615,970443,970443,970443,,
2960123,970443,970443,970443,,,,,2960123,970443,970443,970443,,
2961272,970412,970412,980478,G2_2022,,,,2961272,970412,970412,980478,G2_2022,
2966391,970443,970443,970443,,,,,2966391,970443,970443,970443,,
2969451,970443,970443,970443,,,,,2969451,970443,970443,970443,,
2971240,970443,970443,970443,,,,,2971240,970443,970443,970443,,
2973620,970443,970443,970443,,,,,2973620,970443,970443,970443,,
2976127,970443,970443,970443,,,,,2976127,970443,970443,970443,,
2976267,970443,970443,970443,,,,,2976267,970443,970443,970443,,
2976739,970443,970443,970443,,,,,2976739,970443,970443,970443,,
2978437,970443,970443,970443,,,,,2978437,970443,970443,970443,,
2980731,970443,970443,970443,,,,,2980731,970443,970443,970443,,
2985352,970406,970406,970406,G2_2022,,,,2985352,970406,970406,970406,G2_2022,
2986766,970432,970432,981957,,,,,2986766,970432,970432,981957,,
2987799,970443,970443,970443,,,,,2987799,970443,970443,970443,,
2999203,970443,970443,970443,,,,,2999203,970443,970443,970443,,
